Column1,District,Households,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise,Sum,premise,no on premise,percent
0,Kupwara,181664,158438,13150.354,92052.478,77476.182,23226,1114.848,11496.87,16304.652,181664,93780.834,87883.166,48.3767648
1,Badgam,187839,160649,6265.311,74380.487,133820.617,27190,706.94,9190.22,24579.76,187839,158400.377,29438.623,15.67226348
2,Leh(Ladakh),54394,36920,775.32,19013.8,32526.52,17474,192.214,9540.804,16740.092,54394,49266.612,5127.388,9.426385263
3,Kargil,48144,40370,1412.95,29591.21,39078.16,7774,93.288,5348.512,7579.65,48144,46657.81,1486.19,3.086968262
4,Punch,147408,132139,3171.336,78622.705,18103.043,15269,122.152,4168.437,11497.557,147408,29600.6,117807.4,79.91927168
5,Rajouri,213578,196070,5293.89,103721.03,19999.14,17508,297.636,3256.488,14969.34,213578,34968.48,178609.52,83.62730244
6,Kathua,214847,181374,6348.09,66564.258,25755.108,33473,1037.663,9037.71,22460.383,214847,48215.491,166631.509,77.55822004
7,Baramula,259475,210543,11158.779,97060.323,156433.449,48932,2446.6,16636.88,45262.1,259475,201695.549,57779.451,22.26782966
8,Bandipore,98076,80521,5958.554,43239.777,56445.221,17555,754.865,5442.05,16554.365,98076,72999.586,25076.414,25.56834904
9,Srinagar,262239,4518,284.634,1734.912,4007.466,257721,5669.862,59791.272,252824.301,262239,256831.767,5407.233,2.061948452
10,Ganderbal,77346,63788,6059.86,30235.512,44332.66,13558,610.11,2982.76,12378.454,77346,56711.114,20634.886,26.67867246
11,Pulwama,169223,147520,6785.92,63433.6,92495.04,21703,651.09,9202.072,19771.433,169223,112266.473,56956.527,33.65767478
12,Shupiyan,80888,75616,4461.344,25104.512,44613.44,5272,173.976,1813.568,4997.856,80888,49611.296,31276.704,38.66667985
13,Anantnag,277733,207067,10560.417,89660.011,105190.036,70666,2190.646,20139.81,53352.83,277733,158542.866,119190.134,42.9153662
14,Kulgam,121130,95952,4509.744,47016.48,40011.984,25178,1057.476,10574.76,14729.13,121130,54741.114,66388.886,54.80796335
15,Doda,133617,122267,1956.272,73360.2,29344.08,11350,329.15,2689.95,10600.9,133617,39944.98,93672.02,70.1048669
16,Ramban,89622,84281,1769.901,43404.715,15002.018,5341,128.184,1030.813,4417.007,89622,19419.025,70202.975,78.33230122
17,Kishtwar,78371,72378,2460.852,37636.56,14475.6,5993,41.951,809.055,5597.462,78371,20073.062,58297.938,74.38713044
18,Udhampur,183360,148664,2973.28,66452.808,11001.136,34696,624.528,5898.32,26056.696,183360,37057.832,146302.168,79.78957679
19,Reasi,107833,95572,1433.58,52469.028,8601.48,12261,134.871,4843.095,9661.668,107833,18263.148,89569.852,83.06348891
20,Jammu,502609,254566,12473.734,97753.344,62623.236,248043,8433.462,56057.718,210588.507,502609,273211.743,229397.257,45.64129512
21,Samba,114236,94247,3110.151,28745.335,24504.22,19989,219.879,3558.042,14132.223,114236,38636.443,75599.557,66.17839998
22,Chamba,200231,186395,4287.085,70830.1,90960.76,13836,96.852,2573.496,12037.32,200231,102998.08,97232.92,48.56037277
23,Kangra,627328,588321,8236.494,148845.213,378878.724,39007,624.112,7411.33,32102.761,627328,410981.485,216346.515,34.48698528
24,Lahul and Spiti,17434,17434,209.208,4794.35,9449.228,0,0,0,0,17434,9449.228,7984.772,45.8
25,Kullu,188704,167995,2687.92,47038.6,137755.9,20709,144.963,3582.657,19052.28,188704,156808.18,31895.82,16.90256698
26,Mandi,462825,431129,4311.29,93123.864,384135.939,31696,190.176,5451.712,29255.408,462825,413391.347,49433.653,10.68085194
27,Hamirpur,211348,196116,1961.16,42361.056,174739.356,15232,243.712,5651.072,10464.384,211348,185203.74,26144.26,12.37024244
28,Una,205217,185091,2776.365,93470.955,46272.75,20126,120.756,3461.672,18576.298,205217,64849.048,140367.952,68.39976805
29,Bilaspur,164445,152458,2286.87,76991.29,38114.5,11987,191.792,4447.177,8235.069,164445,46349.569,118095.431,71.8145465
30,Solan,244296,192787,2699.018,48775.111,113358.756,51509,2472.432,12568.196,38425.714,244296,151784.47,92511.53,37.86862249
31,Sirmaur,192156,171102,2224.326,46026.438,117718.176,21054,168.432,3558.126,19685.49,192156,137403.666,54752.334,28.4936895
32,Shimla,375165,279269,3630.497,75123.361,192137.072,95896,2972.776,34618.456,63003.672,375165,255140.744,120024.256,31.99239161
33,Kinnaur,44514,44514,2314.728,26307.774,7389.324,0,0,0,0,44514,7389.324,37124.676,83.4
34,Gurdaspur,606348,420860,21884.72,248728.26,69862.76,185488,5750.128,66961.168,121865.616,606348,191728.376,414619.624,68.37981225
35,Kapurthala,261203,165433,3143.227,40531.085,114148.77,95770,1340.78,17908.99,86001.46,261203,200150.23,61052.77,23.37368637
36,Jalandhar,708130,330339,9249.492,102074.751,187962.891,377791,3777.91,74424.827,363057.151,708130,551020.042,157109.958,22.18659822
37,Hoshiarpur,551265,422673,9721.479,103132.212,252758.454,128592,1671.696,23275.152,116632.944,551265,369391.398,181873.602,32.99204593
38,Shahid Bhagat Singh Nagar,231551,183168,16485.12,90484.992,91767.168,48383,2515.916,19885.413,41415.848,231551,133183.016,98367.984,42.48221083
39,Fatehgarh Sahib,174896,117559,7171.099,48669.426,90990.666,57337,2350.817,18347.84,53954.117,174896,144944.783,29951.217,17.12515838
40,Ludhiana,1036821,395032,24491.984,184479.944,300224.32,641789,30805.872,244521.609,614833.862,1036821,915058.182,121762.818,11.74386109
41,Moga,288439,214295,13929.175,87860.95,122148.15,74144,3633.056,25431.392,65914.016,288439,188062.166,100376.834,34.8000215
42,Firozpur,502390,348522,18820.188,139757.322,232812.696,153868,10001.42,55392.48,130941.668,502390,363754.364,138635.636,27.59522204
43,Muktsar,224157,149507,9568.448,58457.237,123343.275,74650,3359.25,26351.45,70096.35,224157,193439.625,30717.375,13.70350915
44,Faridkot,158863,99946,7096.166,45075.646,87452.75,58917,2886.933,24097.053,57090.573,158863,144543.323,14319.677,9.013852817
45,Bathinda,355722,218159,16143.766,98607.868,186307.786,137563,9216.721,47871.924,130272.161,355722,316579.947,39142.053,11.00355137
46,Mansa,196389,145603,15725.124,74111.927,96971.598,50786,3605.806,20873.046,46062.902,196389,143034.5,53354.5,27.16776398
47,Patiala,517369,299279,32022.853,158019.312,216378.717,218090,19846.19,87890.27,195844.82,517369,412223.537,105145.463,20.32310846
48,Amritsar,660953,275477,21211.729,134983.73,220657.077,385476,31223.556,155732.304,357721.728,660953,578378.805,82574.195,12.49320224
