District,Households,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise,State/UT
Kupwara,181664.0,158438.0,13150.354000000001,92052.47799999999,77476.182,23226.0,1114.848,11496.87,16304.652000000002,Jammu and Kashmir
Badgam,187839.0,160649.0,6265.311,74380.487,133820.617,27190.0,706.94,9190.22,24579.760000000002,Jammu and Kashmir
Leh(Ladakh),54394.0,36920.0,775.32,19013.8,32526.519999999997,17474.0,192.21400000000003,9540.804,16740.092,Laddakh
Kargil,48144.0,40370.0,1412.95,29591.21,39078.159999999996,7774.0,93.288,5348.512,7579.65,Laddakh
Punch,147408.0,132139.0,3171.3360000000002,78622.705,18103.042999999998,15269.0,122.152,4168.437,11497.557,Jammu and Kashmir
Rajouri,213578.0,196070.0,5293.89,103721.03,19999.14,17508.0,297.636,3256.4880000000003,14969.34,Jammu and Kashmir
Kathua,214847.0,181374.0,6348.090000000001,66564.258,25755.107999999997,33473.0,1037.663,9037.710000000001,22460.382999999998,Jammu and Kashmir
Baramula,259475.0,210543.0,11158.779,97060.323,156433.449,48932.0,2446.6,16636.88,45262.1,Jammu and Kashmir
Bandipore,98076.0,80521.0,5958.554000000001,43239.777,56445.221,17555.0,754.8649999999999,5442.05,16554.364999999998,Jammu and Kashmir
Srinagar,262239.0,4518.0,284.634,1734.912,4007.466,257721.0,5669.862000000001,59791.272,252824.301,Jammu and Kashmir
Ganderbal,77346.0,63788.0,6059.86,30235.512,44332.659999999996,13558.0,610.11,2982.76,12378.454,Jammu and Kashmir
Pulwama,169223.0,147520.0,6785.92,63433.6,92495.04,21703.0,651.09,9202.072,19771.432999999997,Jammu and Kashmir
Shupiyan,80888.0,75616.0,4461.344,25104.512000000002,44613.439999999995,5272.0,173.976,1813.5679999999998,4997.856,Jammu and Kashmir
Anantnag,277733.0,207067.0,10560.417,89660.011,105190.03600000001,70666.0,2190.646,20139.809999999998,53352.83,Jammu and Kashmir
Kulgam,121130.0,95952.0,4509.744,47016.479999999996,40011.984000000004,25178.0,1057.476,10574.76,14729.13,Jammu and Kashmir
Doda,133617.0,122267.0,1956.272,73360.2,29344.079999999998,11350.0,329.15,2689.95,10600.900000000001,Jammu and Kashmir
Ramban,89622.0,84281.0,1769.901,43404.715000000004,15002.018000000002,5341.0,128.184,1030.813,4417.0070000000005,Jammu and Kashmir
Kishtwar,78371.0,72378.0,2460.8520000000003,37636.56,14475.6,5993.0,41.95099999999999,809.0550000000001,5597.462,Jammu and Kashmir
Udhampur,183360.0,148664.0,2973.28,66452.808,11001.136000000002,34696.0,624.528,5898.320000000001,26056.695999999996,Jammu and Kashmir
Reasi,107833.0,95572.0,1433.58,52469.02799999999,8601.48,12261.0,134.871,4843.095,9661.668,Jammu and Kashmir
Jammu,502609.0,254566.0,12473.734,97753.344,62623.236000000004,248043.0,8433.462000000001,56057.718,210588.507,Jammu and Kashmir
Samba,114236.0,94247.0,3110.1510000000003,28745.335,24504.22,19989.0,219.87900000000002,3558.0420000000004,14132.223000000002,Jammu and Kashmir
Chamba,200231.0,186395.0,4287.085,70830.1,90960.76,13836.0,96.85199999999999,2573.4960000000005,12037.32,Himachal Pradesh
Kangra,627328.0,588321.0,8236.493999999999,148845.213,378878.724,39007.0,624.112,7411.33,32102.761,Himachal Pradesh
Lahul AND Spiti,17434.0,17434.0,209.208,4794.35,9449.228000000001,0.0,0.0,0.0,0.0,Himachal Pradesh
Kullu,188704.0,167995.0,2687.92,47038.600000000006,137755.9,20709.0,144.963,3582.657,19052.280000000002,Himachal Pradesh
Mandi,462825.0,431129.0,4311.29,93123.86400000002,384135.93899999995,31696.0,190.17600000000002,5451.7119999999995,29255.408,Himachal Pradesh
Hamirpur,211348.0,196116.0,1961.16,42361.056000000004,174739.35599999997,15232.0,243.71200000000002,5651.072,10464.384,Himachal Pradesh
Una,205217.0,185091.0,2776.365,93470.955,46272.75,20126.0,120.756,3461.6719999999996,18576.298,Himachal Pradesh
Bilaspur,164445.0,152458.0,2286.87,76991.29,38114.5,11987.0,191.792,4447.177,8235.069000000001,Himachal Pradesh
Solan,244296.0,192787.0,2699.0179999999996,48775.111,113358.756,51509.0,2472.4320000000002,12568.196,38425.714,Himachal Pradesh
Sirmaur,192156.0,171102.0,2224.326,46026.437999999995,117718.17599999999,21054.0,168.43200000000002,3558.1259999999997,19685.49,Himachal Pradesh
Shimla,375165.0,279269.0,3630.4970000000003,75123.36099999999,192137.072,95896.0,2972.776,34618.456,63003.672000000006,Himachal Pradesh
Kinnaur,44514.0,44514.0,2314.728,26307.773999999998,7389.3240000000005,0.0,0.0,0.0,0.0,Himachal Pradesh
Gurdaspur,606348.0,420860.0,21884.72,248728.25999999998,69862.76000000001,185488.0,5750.128,66961.16799999999,121865.61600000001,Punjab
Kapurthala,261203.0,165433.0,3143.227,40531.085,114148.76999999999,95770.0,1340.78,17908.99,86001.46,Punjab
Jalandhar,708130.0,330339.0,9249.491999999998,102074.751,187962.89099999997,377791.0,3777.91,74424.82699999999,363057.151,Punjab
Hoshiarpur,551265.0,422673.0,9721.479,103132.212,252758.454,128592.0,1671.6960000000001,23275.152000000002,116632.944,Punjab
Shahid Bhagat Singh Nagar,231551.0,183168.0,16485.12,90484.992,91767.168,48383.0,2515.916,19885.413,41415.848,Punjab
Fatehgarh Sahib,174896.0,117559.0,7171.099,48669.426,90990.666,57337.0,2350.8169999999996,18347.84,53954.117,Punjab
Ludhiana,1036821.0,395032.0,24491.984,184479.94400000002,300224.32,641789.0,30805.872,244521.609,614833.862,Punjab
Moga,288439.0,214295.0,13929.175000000001,87860.95,122148.15,74144.0,3633.056,25431.391999999996,65914.016,Punjab
Firozpur,502390.0,348522.0,18820.188000000002,139757.32200000001,232812.69599999997,153868.0,10001.42,55392.479999999996,130941.66799999999,Punjab
Muktsar,224157.0,149507.0,9568.448,58457.237,123343.275,74650.0,3359.25,26351.449999999997,70096.35,Punjab
Faridkot,158863.0,99946.0,7096.165999999999,45075.646,87452.75,58917.0,2886.933,24097.053,57090.573000000004,Punjab
Bathinda,355722.0,218159.0,16143.766000000001,98607.868,186307.78600000002,137563.0,9216.721000000001,47871.924,130272.16100000001,Punjab
Mansa,196389.0,145603.0,15725.124000000002,74111.927,96971.59799999998,50786.0,3605.8059999999996,20873.046000000002,46062.902,Punjab
Patiala,517369.0,299279.0,32022.853,158019.312,216378.717,218090.0,19846.19,87890.26999999999,195844.82,Punjab
Amritsar,660953.0,275477.0,21211.729,134983.73,220657.077,385476.0,31223.556,155732.30399999997,357721.728,Punjab
Tarn Taran,267174.0,222717.0,16481.058,113808.387,187750.43099999998,44457.0,2400.6780000000003,14404.068000000001,41389.467,Punjab
Rupnagar,208699.0,148162.0,10667.664,68895.33,93193.898,60537.0,3571.6830000000004,20643.117000000002,51456.45,Punjab
Sahibzada Ajit Singh Nagar,291335.0,117293.0,8327.803,56300.64,90667.489,174042.0,7309.764,56041.524000000005,168646.698,Punjab
Sangrur,448944.0,292156.0,22788.168,161270.11200000002,177630.848,156788.0,8466.552000000001,66634.9,146439.992,Punjab
Barnala,156799.0,102577.0,8308.737000000001,57135.389,66469.89600000001,54222.0,3849.7619999999997,23640.792,47552.694,Punjab
Chandigarh,298367.0,8911.0,534.66,3172.3160000000003,5070.3589999999995,289456.0,14472.800000000001,79889.856,265431.152,Chandigarh
Uttarkashi,121209.0,112148.0,8186.803999999999,48447.93600000001,68073.836,9061.0,344.318,2147.457,8372.364,Uttarakhand
Chamoli,186340.0,163434.0,9969.474,74689.338,128459.12399999998,22906.0,1076.582,7879.664,21073.52,Uttarakhand
Rudraprayag,117159.0,112705.0,7325.825,56014.38500000001,90389.41,4454.0,262.786,1826.1399999999999,4017.5080000000003,Uttarakhand
