,State/UT,Number of Primary Health Centers(PHCs),Community Health Centers(CHCs),Sub-District/Divisional Hospitals(SDHs),District Hospitals(DHs),Hospitals,HospitalBeds,Population,Per1000
29,West Bengal,1374,406,70,55,1905,51163,91276115,5.605299918823231
14,Uttarakhand,275,69,19,20,383,6660,10086292,6.603021209380018
32,Uttar Pradesh,3277,671,0,174,4122,58310,199812341,2.9182381682821084
13,Tripura,114,22,12,9,157,4895,3673917,13.32365429050248
22,Telangana,788,82,47,15,932,17358,35193978,4.9320937803620835
35,Tamil Nadu,1854,385,310,32,2581,72616,72147030,10.065001982756602
3,Sikkim,25,2,1,4,32,1145,610577,18.752753542960182
30,Rajasthan,2463,579,64,33,3139,51844,68548437,7.563119199931576
18,Punjab,521,146,47,28,742,13527,27743338,4.875765129632202
11,Pondicherry,40,4,5,4,53,4462,1247953,35.75455165378824
21,Orissa,1360,377,27,35,1799,16497,41974218,3.930269767026988
5,Nagaland,134,21,0,11,166,1944,1978502,9.825615541455102
6,Mizoram,65,10,3,9,87,2312,1097206,21.07170394620518
12,Meghalaya,138,29,0,13,180,4585,2966889,15.453898005621378
8,Manipur,87,17,1,9,114,2562,2855794,8.971235320194664
34,Maharashtra,2638,430,101,70,3239,68998,112374333,6.140014197014188
26,Madhya Pradesh,1420,324,72,51,1867,38140,72626809,5.251504303321381
0,Lakshadweep,4,3,2,1,10,250,64473,38.775921703658895
27,Kerala,933,229,82,53,1297,39511,33406061,11.827494417854293
31,Karnataka,2547,207,147,42,2943,56333,61140305,9.213725708434067
15,Jharkhand,343,179,13,23,558,7404,32988134,2.244443411076237
17,Jammu and Kashmir,702,87,0,29,818,11342,12267013,9.245934605270248
16,Himachal Pradesh,516,79,61,15,671,8706,6864602,12.682454132082238
19,Haryana,500,131,24,28,683,13841,25351462,5.459645680395079
28,Gujarat,1770,385,44,37,2236,41129,60439692,6.804965187446687
9,Goa,31,4,2,3,40,2666,1458545,18.27848986489961
25,Delhi,534,25,9,47,615,20572,16787941,12.254034011675405
1,Daman and Diu,4,2,0,2,8,298,243247,12.250921902428397
2,Dadra and Nagar Haveli,9,2,1,1,13,568,343709,16.525607417902933
20,Chhattisgarh,813,166,12,32,1023,14354,25545198,5.619059989278611
10,Chandigarh,40,2,1,4,47,3756,1055450,35.586716566393484
23,Bihar,2007,63,33,43,2146,17796,104099452,1.7095190856528235
24,Assam,1007,166,14,33,1220,19115,31205576,6.125507825909062
7,Arunachal Pradesh,122,62,0,15,199,2320,1383727,16.766313008274032
33,Andhra Pradesh,1417,198,31,20,1666,60799,49386799,12.310779647816414
4,Andaman and Nicobar Islands,27,4,0,3,34,1246,380581,32.73941683899091
36,All India,29899,5568,1255,1003,37725,739024,1210899985,6.103096945698616
