District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Livable,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Livable,Households_Urban_Toilet_Premise
Kupwara,158438,13150.354,92052.478,77476.182,23226,1114.848,11496.87,16304.652
Badgam,160649,6265.311,74380.487,133820.617,27190,706.94,9190.22,24579.76
Leh(Ladakh),36920,775.32,19013.8,32526.52,17474,192.214,9540.804,16740.092
Kargil,40370,1412.95,29591.21,39078.16,7774,93.288,5348.512,7579.65
Punch,132139,3171.336,78622.705,18103.043,15269,122.152,4168.437,11497.557
Rajouri,196070,5293.89,103721.03,19999.14,17508,297.636,3256.488,14969.34
Kathua,181374,6348.09,66564.258,25755.108,33473,1037.663,9037.71,22460.383
Baramula,210543,11158.779,97060.323,156433.449,48932,2446.6,16636.88,45262.1
Bandipore,80521,5958.554,43239.777,56445.221,17555,754.865,5442.05,16554.365
Srinagar,4518,284.634,1734.912,4007.466,257721,5669.862,59791.272,252824.301
Ganderbal,63788,6059.86,30235.512,44332.66,13558,610.11,2982.76,12378.454
Pulwama,147520,6785.92,63433.6,92495.04,21703,651.09,9202.072,19771.433
Shupiyan,75616,4461.344,25104.512,44613.44,5272,173.976,1813.568,4997.856
Anantnag,207067,10560.417,89660.011,105190.036,70666,2190.646,20139.81,53352.83
Kulgam,95952,4509.744,47016.48,40011.984,25178,1057.476,10574.76,14729.13
Doda,122267,1956.272,73360.2,29344.08,11350,329.15,2689.95,10600.9
Ramban,84281,1769.901,43404.715,15002.018,5341,128.184,1030.813,4417.007
Kishtwar,72378,2460.852,37636.56,14475.6,5993,41.951,809.055,5597.462
Udhampur,148664,2973.28,66452.808,11001.136,34696,624.528,5898.32,26056.696
Reasi,95572,1433.58,52469.028,8601.48,12261,134.871,4843.095,9661.668
Jammu,254566,12473.734,97753.344,62623.236,248043,8433.462,56057.718,210588.507
Samba,94247,3110.151,28745.335,24504.22,19989,219.879,3558.042,14132.223
Chamba,186395,4287.085,70830.1,90960.76,13836,96.852,2573.496,12037.32
Kangra,588321,8236.494,148845.213,378878.724,39007,624.112,7411.33,32102.761
Lahul AND Spiti,17434,209.208,4794.35,9449.228,0,0,0,0
Kullu,167995,2687.92,47038.6,137755.9,20709,144.963,3582.657,19052.28
Mandi,431129,4311.29,93123.864,384135.939,31696,190.176,5451.712,29255.408
Hamirpur,196116,1961.16,42361.056,174739.356,15232,243.712,5651.072,10464.384
Una,185091,2776.365,93470.955,46272.75,20126,120.756,3461.672,18576.298
Bilaspur,152458,2286.87,76991.29,38114.5,11987,191.792,4447.177,8235.069
Solan,192787,2699.018,48775.111,113358.756,51509,2472.432,12568.196,38425.714
Sirmaur,171102,2224.326,46026.438,117718.176,21054,168.432,3558.126,19685.49
Shimla,279269,3630.497,75123.361,192137.072,95896,2972.776,34618.456,63003.672
Kinnaur,44514,2314.728,26307.774,7389.324,0,0,0,0
Gurdaspur,420860,21884.72,248728.26,69862.76,185488,5750.128,66961.168,121865.616
Kapurthala,165433,3143.227,40531.085,114148.77,95770,1340.78,17908.99,86001.46
Jalandhar,330339,9249.492,102074.751,187962.891,377791,3777.91,74424.827,363057.151
Hoshiarpur,422673,9721.479,103132.212,252758.454,128592,1671.696,23275.152,116632.944
Shahid Bhagat Singh Nagar,183168,16485.12,90484.992,91767.168,48383,2515.916,19885.413,41415.848
Fatehgarh Sahib,117559,7171.099,48669.426,90990.666,57337,2350.817,18347.84,53954.117
Ludhiana,395032,24491.984,184479.944,300224.32,641789,30805.872,244521.609,614833.862
Moga,214295,13929.175,87860.95,122148.15,74144,3633.056,25431.392,65914.016
Firozpur,348522,18820.188,139757.322,232812.696,153868,10001.42,55392.48,130941.668
Muktsar,149507,9568.448,58457.237,123343.275,74650,3359.25,26351.45,70096.35
Faridkot,99946,7096.166,45075.646,87452.75,58917,2886.933,24097.053,57090.573
Bathinda,218159,16143.766,98607.868,186307.786,137563,9216.721,47871.924,130272.161
Mansa,145603,15725.124,74111.927,96971.598,50786,3605.806,20873.046,46062.902
Patiala,299279,32022.853,158019.312,216378.717,218090,19846.19,87890.27,195844.82
Amritsar,275477,21211.729,134983.73,220657.077,385476,31223.556,155732.304,357721.728
Tarn Taran,222717,16481.058,113808.387,187750.431,44457,2400.678,14404.068,41389.467
Rupnagar,148162,10667.664,68895.33,93193.898,60537,3571.683,20643.117,51456.45
Sahibzada Ajit Singh Nagar,117293,8327.803,56300.64,90667.489,174042,7309.764,56041.524,168646.698
Sangrur,292156,22788.168,161270.112,177630.848,156788,8466.552,66634.9,146439.992
Barnala,102577,8308.737,57135.389,66469.896,54222,3849.762,23640.792,47552.694
Chandigarh,8911,534.66,3172.316,5070.359,289456,14472.8,79889.856,265431.152
Uttarkashi,112148,8186.804,48447.936,68073.836,9061,344.318,2147.457,8372.364
Chamoli,163434,9969.474,74689.338,128459.124,22906,1076.582,7879.664,21073.52
Rudraprayag,112705,7325.825,56014.385,90389.41,4454,262.786,1826.14,4017.508
Tehri Garhwal,227059,6357.652,106490.671,199811.92,27177,951.195,7229.082,23807.052
